licence_profile_name,document_type,title,leap_url,document_date,compliance_status,compliance_date,profilenumber,licenceprofileid,document_url
Kells - D0127,Complaint,"Ragging SWO3 Newrath Stream , Kells",https://leap.epa.ie/licence-profile/D0127/compliance/complaint/ab0fcb51-bf8c-f011-a376-0050568a2d1a,2025-09-06T00:00:00+00:00,Open,2025-09-06T00:00:00,D0127,63ffe3ec-a34d-4ff2-9db9-4b3fe294c79c,https://data.epa.ie/leap/api/v1/Complaint/byid?complaint_id=ab0fcb51-bf8c-f011-a376-0050568a2d1a
Blackrock - D0188,Complaint,COM021832 - Web Submission,https://leap.epa.ie/licence-profile/D0188/compliance/complaint/fa0b7c21-3b8a-f011-a376-0050568a2d1a,2025-09-05T00:00:00+00:00,Open,2025-09-05T00:00:00,D0188,02c378a0-0b5b-42a5-826e-5dc6bb2e7826,https://data.epa.ie/leap/api/v1/Complaint/byid?complaint_id=fa0b7c21-3b8a-f011-a376-0050568a2d1a
Letterkenny - D0009,Incident,Uncontrolled Release,https://leap.epa.ie/licence-profile/D0009/compliance/incident/270c4447-1388-f011-a373-0050568a2d1a,2025-09-05T00:00:00+00:00,Closed,2025-09-02T00:00:00,D0009,b9eb9049-4c01-4702-81bb-391bc63641a5,https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=270c4447-1388-f011-a373-0050568a2d1a
Arran Chemical Company Limited - P0110,Incident,Breach of ELV,https://leap.epa.ie/licence-profile/P0110/compliance/incident/28efcd6d-428a-f011-a376-0050568a2d1a,2025-09-05T00:00:00+00:00,Open,2025-09-05T00:00:00,P0110,77e11786-8292-4f95-8724-32e3e816d005,https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=28efcd6d-428a-f011-a376-0050568a2d1a
Timoleague Agri Gen Limited - P0986,Incident,Breach of ELV,https://leap.epa.ie/licence-profile/P0986/compliance/incident/42ce878f-778a-f011-a376-0050568a2d1a,2025-09-05T00:00:00+00:00,Open,2025-09-05T00:00:00,P0986,e334799f-9bb0-e611-8d41-0050568a69e2,https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=42ce878f-778a-f011-a376-0050568a2d1a
Corduff FlexGen - P1138,Incident,Trigger Level Reached,https://leap.epa.ie/licence-profile/P1138/compliance/incident/4f887266-6f8a-f011-a376-0050568a2d1a,2025-09-05T00:00:00+00:00,Open,2025-09-05T00:00:00,P1138,709c99e3-6beb-468b-9a02-8a55e4bda732,https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=4f887266-6f8a-f011-a376-0050568a2d1a
Donohill Landfill - W0074,Incident,Trigger Level Reached,https://leap.epa.ie/licence-profile/W0074/compliance/incident/cfd5a1bc-147c-f011-a373-0050568a2d1a,2025-09-05T00:00:00+00:00,Closed,2025-08-18T00:00:00,W0074,cdb83cc9-092b-4574-ab13-4711ac3355c0,https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=cfd5a1bc-147c-f011-a373-0050568a2d1a
Killygordon - D0518,Incident,Abatement equipment off-line,https://leap.epa.ie/licence-profile/D0518/compliance/incident/e62815f7-4e8a-f011-a376-0050568a2d1a,2025-09-05T00:00:00+00:00,Open,2025-09-05T00:00:00,D0518,ea412169-2144-4769-94bd-437b5ea2a750,https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=e62815f7-4e8a-f011-a376-0050568a2d1a
Irish Distillers Limited - P0442,Incident,Breach of ELV,https://leap.epa.ie/licence-profile/P0442/compliance/incident/faab076b-638a-f011-a376-0050568a2d1a,2025-09-05T00:00:00+00:00,Open,2025-09-05T00:00:00,P0442,8e66dbf7-8c5f-496c-89ce-79b6dfded6c9,https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=faab076b-638a-f011-a376-0050568a2d1a
Sigma-Aldrich Ireland Limited - P0089,Site Updates/Notifications,Planned TO Shutdown,https://leap.epa.ie/licence-profile/P0089/compliance/return/0e81b003-3987-f011-a373-0050568a2d1a,2025-09-05T00:00:00+00:00,Closed,2025-09-01T00:00:00,P0089,661072a9-52f4-4501-9aa9-83d62658a278,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=0e81b003-3987-f011-a373-0050568a2d1a
